,0,1,2,3,4,5,6,7,8,9
0,4388977269.414421,4310476717.286812,4054476329.073071,3844487019.6995564,3492005380.6452866,2763073488.642288,2069153673.7763069,2045143238.717095,1874675179.0537114,1849674921.180452
1,3712580361.3611717,3693077453.496475,3756077307.8155627,3644086018.6823254,3629587963.276927,3619088319.175809,3608088481.6248474,3599588474.869529,3602088305.7326465,3599588474.9341073
2,3824337783.640777,3724861190.810463,3049899642.3008113,2584399860.5979342,1730898902.995802,1627383416.1167355,1332881430.7789094,1370831039.2901816,1046836169.2463279,1023824632.5939301
3,4898761378.158854,4898761378.153899,4898761378.177868,4898761378.196442,4898761378.152198,4873766989.036462,4898761378.169122,4898761378.173775,4886264183.672213,4898761378.1881895
4,4791569427.393413,4798567215.05039,4798567215.136078,4798567215.163997,4798567215.090919,4798567215.067763,4798567215.117454,4798567215.156155,4798567215.125257,4798567215.105509
5,4414235009.558579,4439739244.008029,4315275220.133957,4193797371.8095846,3939384261.6104736,3411619280.5770087,3309656943.7126274,3315155190.888578,3295663891.927868,3271677557.209333
6,4392284789.148347,4387284651.43209,4202280536.7038336,4084789186.6514225,3013321506.43891,2752860180.014804,1896907698.6534956,1717411612.732683,1491923958.720218,1805909122.8667228
7,4898693289.786384,4898693289.760721,4895693974.899975,4895693974.841602,4898693289.811754,4898693289.829599,4898693289.802368,4889695344.971634,4895693974.909731,4898693289.788431
8,4628934427.158238,4333399950.688059,4039361275.874939,4066378258.374213,4022361919.122592,4011381222.236767,3832413069.9526606,3789409968.223071,3803898896.581927,3820389334.159274
9,4452177044.256652,4520161563.38426,4233733759.613906,3603402120.3015757,3450423188.7897587,2671684353.9457703,2597167007.2198744,2151342090.5698037,2100340631.338999,2014391568.7144012
10,3911254108.873676,3867751801.162672,3526789006.3307867,3146883781.395944,2967444337.3779993,2327601250.693055,556401260.524319,193463770.90473965,141969054.81544164,61486867.466882944
11,4220632486.91319,4137135339.589111,3920168999.9129014,3801180291.918999,3548252454.9106526,3415297171.600045,3413797794.2361298,3413300337.103571,3404801357.2237043,3415297171.558383
